Fuente,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"1. Secretaria de Salud
    (Ramo 12)","41,548","53,144","69,743","80,959","86,766","99,806","112,737","118,894","120,828","121,772","124,341","132,186","123,534","122,795","157,497","175,004","182,681","105,425","67,544"
2. FASSA (Ramo 33),"41,751","43,500","48,480","50,417","51,890","58,476","64,793","67,679","73,094","80,072","85,648","91,776","94,412","98,817","104,435","109,872","117,656","126,227","96,654"
"3. Programa IMSS-Prospera
    (Ramo 19)","5,716","5,790","6,371","7,624","7,972","8,704","9,715","9,882","10,486","11,269","11,747","12,769","13,338","13,261","16,562","13,616","20,358","20,628","19,585"
"4. SEDENA 
    (Ramo 7)","2,326","3,011","3,330","3,995","5,100","5,593","7,118","5,870","5,724","5,885","6,391","7,103","7,720","6,979","6,586","7,144","8,235","7,972","8,935"
"5. SEMAR
    (Ramo 13)",613,"1,342","1,062","1,339","1,481","1,684","1,727","1,789","1,881","2,105","2,200","2,224","2,414","2,836","3,306","3,863","3,739","4,521","6,161"
6. Gasto Estatal,"16,875","19,335","24,715","27,989","33,711","26,700","25,523","28,218","31,963","41,396","41,213","43,651","57,104","60,706","84,964","64,892","78,571","79,830","60,323"
7. Recursos propios y de terceros, - , - , - , - , - , - , - , - , - , - , - , - , - , - ,"6,415","6,465","9,476","6,753","12,111"
8. Universidades (Ramo 11), - , - , - , - , - , - , - , - , - , - , - , - , - , - ,280,726,910,"1,594","1,969"
9. Consejo Nacional de Ciencia y Tecnología (Ramo 38), - , - , - , - , - , - , - , - , - , - , - , - , - , - ,"2,025","1,411","2,094","1,897","1,950"
10. Instituto para Devolverle al Pueblo lo Robado (INDEP), - , - , - , - , - , - , - , - , - , - , - , - , - , - ,"2,000", - , - , - , - 
11. Participaciones a Entidades Federativas (Ramo 28), - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,"17,456","39,848"
12. OPD IMSS BIENESTAR (Ramo 47), - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,"49,055","169,169"
Gasto para la población sin seguridad social,"108,829","126,123","153,701","172,323","186,919","200,963","221,613","232,331","243,976","262,499","271,540","289,709","298,522","305,395","384,070","382,994","423,720","421,359","484,249"
7. IMSS,"128,716","135,350","141,811","155,181","173,929","183,572","199,555","208,586","199,593","220,226","229,478","244,856","261,381","268,516","311,053","334,812","362,724","412,127","472,507"
8. ISSSTE,"22,948","29,913","32,005","35,178","39,511","48,089","46,156","49,832","47,308","52,511","52,853","52,177","55,029","63,030","69,943","48,828","78,898","81,428","93,088"
9. PEMEX,"8,322","9,134","10,292","10,551","10,626","11,600","12,431","12,866","12,904","13,584","13,769","13,227","13,539","12,639","14,102","15,874","17,637","17,450","17,950"
10. ISSES,0,0,0,0,0,0,"11,764","18,318","17,444","19,246","21,174","19,727","19,463","20,561","21,291","21,746","22,538","24,087","30,423"
11. ISSFAM,"1,049","1,137","1,227","1,601","1,691","2,033","2,303","2,438","2,628","2,822","3,099","3,241","3,586","3,685","4,801","5,122","5,576","6,197","6,902"
Gasto para la población sin seguridad social,"161,035","175,533","185,335","202,511","225,757","245,294","272,208","292,041","279,877","308,389","320,373","333,228","352,998","368,432","421,190","426,382","487,374","541,288","620,870"
Gasto Público en Salud,"269,864","301,656","339,036","374,834","412,676","446,257","493,820","524,373","523,853","570,888","591,913","622,937","651,520","673,827","805,260","809,376","911,094","962,647","1,105,120"
Monto no desagregado, - , - ," 2,214 ", - , - ," 11,484 "," 8,447 "," 19,175 "," 7,865 ", - , - ," 3,424 ", - ," 5,459 "," 1,512 ", - , - , - ," 9,522 "
